id_cliente,data_contratacao,idade,sexo,regiao,renda_mensal,classe_social,score_interno,canal_aquisicao,num_emprestimos_anteriores,tempo_relacionamento_dias,possui_restricao,valor_solicitado,prazo_meses,taxa_juros_am,valor_parcela,comprometimento_renda,finalidade,dias_atraso_max,inadimplente_90d
CLI000033,2024-11-12,37,F,Sul,1134,D,619,Parceiro Marketplace A,0,3,0,350,3,0.0847,136.97,0.121,Emergência,0,0
CLI000034,2024-03-07,25,M,Sudeste,1170,D,506,Parceiro Marketplace A,0,20,0,1650,12,0.1387,289.84,0.248,Consumo,129,1
CLI000035,2023-09-09,19,M,Centro-Oeste,3259,C,701,Parceiro Marketplace A,0,1,0,2000,6,0.1208,487.55,0.15,Pagar dívidas,30,0
CLI000036,2024-11-27,30,F,Centro-Oeste,1669,D,546,Parceiro Marketplace A,3,883,0,250,9,0.0695,38.29,0.023,Emergência,0,0
CLI000037,2023-09-25,66,M,Norte,850,D,568,App Próprio,1,665,1,400,6,0.156,107.41,0.126,Emergência,0,0
CLI000038,2023-10-12,47,F,Nordeste,2021,D,615,Parceiro Marketplace A,0,45,0,950,12,0.0624,114.81,0.057,Emergência,0,0
CLI000039,2024-08-04,70,M,Nordeste,1825,D,307,Site,0,34,0,1250,12,0.0829,168.37,0.092,Educação,140,1
CLI000040,2024-01-25,29,M,Nordeste,1424,D,559,Parceiro Marketplace A,4,308,1,1150,12,0.1351,198.82,0.14,Emergência,0,0
CLI000041,2024-10-03,36,F,Sudeste,1120,D,501,Site,3,811,0,2900,3,0.1523,1274.98,1.138,Saúde,30,0
CLI000042,2023-11-18,26,F,Nordeste,1100,D,389,App Próprio,0,3,0,650,6,0.1147,155.73,0.142,Emergência,96,1
CLI000043,2023-12-19,39,F,Nordeste,2715,C,431,Indicação,2,811,1,2700,12,0.1143,424.43,0.156,Consumo,0,0
CLI000044,2024-06-23,47,F,Nordeste,1908,D,541,Parceiro Marketplace A,0,16,0,2850,9,0.1728,646.49,0.339,Saúde,5,0
CLI000045,2024-11-25,60,F,Sudeste,2103,D,317,Indicação,0,50,0,700,6,0.0963,158.99,0.076,Reforma,15,0
CLI000046,2023-07-26,37,M,Nordeste,1906,D,579,Parceiro Marketplace A,2,239,0,2300,6,0.1258,568.64,0.298,Consumo,0,0
CLI000047,2024-05-05,58,F,Nordeste,1974,D,492,App Próprio,0,33,0,3000,6,0.1374,765.99,0.388,Pagar dívidas,0,0
CLI000048,2023-09-06,51,M,Nordeste,1413,D,613,App Próprio,1,250,1,900,6,0.1713,251.6,0.178,Consumo,0,0
CLI000049,2023-12-31,33,F,Centro-Oeste,1577,D,486,Mídia Paga,1,648,0,1600,6,0.1517,424.72,0.269,Reforma,0,0
CLI000050,2023-11-07,66,M,Sul,2805,C,739,Site,3,579,0,2300,6,0.0742,488.8,0.174,Reforma,0,0
CLI000051,2023-11-17,41,F,Sudeste,3115,C,528,Mídia Paga,1,631,1,2250,6,0.1518,597.42,0.192,Saúde,129,1
CLI000052,2024-09-17,26,F,Sudeste,1029,D,572,Parceiro Marketplace B,2,672,0,2550,6,0.1346,646.08,0.628,Emergência,15,0
CLI000053,2024-06-18,69,M,Sul,1576,D,644,Mídia Paga,1,69,1,1200,3,0.1529,528.1,0.335,Educação,30,0
CLI000054,2024-04-23,66,F,Sudeste,2447,C,826,Indicação,2,384,0,550,3,0.0718,210.27,0.086,Educação,0,0
CLI000055,2024-04-07,20,M,Norte,3791,C,565,Mídia Paga,4,249,0,2100,9,0.1705,472.65,0.125,Consumo,0,0
CLI000056,2024-12-08,65,F,Sudeste,3635,C,382,Parceiro Marketplace B,1,851,1,1150,12,0.1552,216.88,0.06,Emergência,185,1
CLI000057,2024-03-11,68,M,Sudeste,1231,D,640,Mídia Paga,3,490,0,2000,3,0.1617,893.0,0.725,Pagar dívidas,15,0
CLI000058,2024-10-09,61,M,Sudeste,2938,C,407,Parceiro Marketplace A,4,170,0,1550,12,0.1657,305.33,0.104,Saúde,94,1
CLI000059,2023-11-26,31,M,Sul,1763,D,309,Site,1,371,1,1500,9,0.0715,231.7,0.131,Reforma,0,0
CLI000060,2023-12-29,51,F,Centro-Oeste,2667,C,690,Parceiro Marketplace A,0,21,0,2650,12,0.1558,501.03,0.188,Pagar dívidas,0,0
CLI000061,2023-08-21,46,F,Norte,2395,C,594,App Próprio,0,56,0,2000,6,0.144,519.96,0.217,Consumo,15,0
CLI000062,2023-11-25,50,F,Nordeste,1011,D,456,Parceiro Marketplace A,1,567,0,1950,9,0.1417,396.67,0.392,Pagar dívidas,15,0
CLI000063,2024-06-17,50,F,Sul,2167,D,928,Parceiro Marketplace B,0,25,0,2900,6,0.1059,677.42,0.313,Emergência,15,0
CLI000064,2023-07-28,51,F,Sudeste,2624,C,340,Parceiro Marketplace B,0,43,0,950,12,0.0917,133.81,0.051,Educação,5,0
CLI000065,2024-05-24,45,M,Nordeste,1705,D,657,App Próprio,2,533,0,2150,3,0.1331,915.37,0.537,Reforma,0,0
CLI000066,2024-07-09,54,F,Centro-Oeste,1551,D,398,Parceiro Marketplace A,4,601,1,1200,3,0.0943,477.7,0.308,Pagar dívidas,0,0
CLI000067,2023-08-31,45,M,Sudeste,889,D,808,App Próprio,2,280,0,1900,12,0.1701,381.04,0.429,Emergência,30,0
CLI000068,2024-06-14,18,F,Centro-Oeste,2292,C,499,Indicação,1,581,0,2500,3,0.133,1064.2,0.464,Emergência,0,0
CLI000069,2024-11-20,19,F,Sudeste,1877,D,563,Mídia Paga,5,74,0,2800,12,0.1031,417.2,0.222,Emergência,5,0
CLI000070,2024-04-22,68,F,Sudeste,1168,D,243,Indicação,1,718,1,1400,3,0.0625,526.18,0.45,Consumo,5,0
CLI000071,2023-10-29,66,F,Nordeste,1500,D,701,Site,0,47,1,2550,3,0.0792,988.06,0.659,Emergência,15,0
CLI000072,2024-09-20,49,F,Norte,1835,D,398,Mídia Paga,1,738,1,1150,6,0.0949,260.11,0.142,Emergência,0,0
CLI000073,2024-04-26,27,F,Sudeste,1360,D,548,Mídia Paga,2,250,1,2050,9,0.0794,327.35,0.241,Pagar dívidas,0,0
CLI000074,2024-10-22,59,F,Sul,1722,D,585,Mídia Paga,3,880,0,2650,6,0.1254,654.44,0.38,Educação,0,0
CLI000075,2023-12-27,25,M,Sudeste,825,D,504,Mídia Paga,2,482,0,2100,12,0.1465,381.64,0.463,Emergência,218,1
CLI000076,2024-04-19,37,F,Sul,3031,C,140,Mídia Paga,0,51,1,2200,9,0.1661,487.77,0.161,Consumo,204,1
CLI000077,2024-07-06,35,F,Nordeste,1731,D,400,Indicação,0,28,1,2550,6,0.1374,651.09,0.376,Reforma,30,0
CLI000078,2024-08-31,18,F,Sudeste,1084,D,485,App Próprio,0,37,0,900,6,0.1294,224.76,0.207,Educação,215,1
CLI000079,2024-03-02,60,F,Sul,800,D,617,Mídia Paga,2,651,0,2300,6,0.0888,510.88,0.639,Pagar dívidas,0,0
CLI000080,2024-01-05,45,M,Sul,2650,C,847,Parceiro Marketplace A,1,644,0,2000,9,0.1649,441.6,0.167,Emergência,5,0
CLI000081,2023-08-12,34,F,Nordeste,2174,D,604,Site,0,46,0,1750,12,0.0979,254.2,0.117,Pagar dívidas,30,0
CLI000082,2024-05-09,44,M,Sudeste,1879,D,630,App Próprio,6,380,1,2950,12,0.1444,531.27,0.283,Consumo,0,0
CLI000083,2024-10-06,18,F,Sudeste,2472,C,528,Parceiro Marketplace B,1,230,0,1350,3,0.1497,590.97,0.239,Saúde,227,1
CLI000084,2023-10-09,41,F,Centro-Oeste,2469,C,397,Parceiro Marketplace A,1,596,0,850,6,0.0654,175.8,0.071,Pagar dívidas,5,0
CLI000085,2024-01-26,45,M,Nordeste,1866,D,484,Mídia Paga,0,31,0,2550,6,0.1381,652.34,0.35,Pagar dívidas,30,0
CLI000086,2023-12-19,36,F,Sul,1546,D,425,Parceiro Marketplace A,0,44,0,700,9,0.1717,158.2,0.102,Reforma,0,0
CLI000087,2024-11-09,62,M,Sul,1443,D,471,Parceiro Marketplace B,1,284,1,2300,6,0.1432,596.65,0.413,Reforma,194,1
CLI000088,2024-07-16,31,F,Sul,2052,D,520,Mídia Paga,3,349,0,2800,12,0.1172,446.17,0.217,Pagar dívidas,5,0
CLI000089,2023-11-13,25,M,Sudeste,3093,C,358,Site,2,517,0,2500,6,0.1083,588.05,0.19,Saúde,0,0
CLI000090,2023-10-09,45,F,Nordeste,1647,D,643,Mídia Paga,1,825,1,1950,6,0.078,419.26,0.255,Consumo,15,0
CLI000091,2024-05-10,65,F,Nordeste,3197,C,574,Parceiro Marketplace B,4,885,0,2800,9,0.087,461.36,0.144,Consumo,0,0
CLI000092,2023-10-24,37,M,Sudeste,2012,D,533,Mídia Paga,2,617,0,1550,6,0.1667,428.15,0.213,Reforma,0,0
CLI000093,2023-10-04,20,F,Sudeste,2018,D,440,App Próprio,3,816,0,400,12,0.1068,60.67,0.03,Consumo,0,0
CLI000094,2024-06-05,69,F,Nordeste,4723,C,458,Parceiro Marketplace B,0,17,0,2250,3,0.0795,872.29,0.185,Consumo,239,1
CLI000095,2023-09-04,41,M,Norte,3443,C,408,Parceiro Marketplace A,0,52,0,2200,3,0.1078,896.83,0.26,Consumo,157,1
CLI000096,2024-07-29,27,M,Nordeste,3481,C,365,Indicação,0,53,0,2600,12,0.1126,405.44,0.116,Educação,0,0
CLI000097,2024-08-24,50,M,Sudeste,1230,D,589,Parceiro Marketplace B,1,354,0,1350,6,0.1007,310.61,0.253,Emergência,15,0
CLI000098,2023-12-29,34,M,Centro-Oeste,4319,C,369,Parceiro Marketplace A,0,27,1,600,3,0.062,225.3,0.052,Emergência,153,1
CLI000099,2024-01-23,67,M,Sudeste,1661,D,681,Parceiro Marketplace A,3,333,0,500,9,0.1041,88.24,0.053,Consumo,15,0
CLI000100,2024-10-17,33,M,Sudeste,1563,D,473,Parceiro Marketplace B,0,40,0,1150,12,0.1676,228.3,0.146,Reforma,30,0
CLI000101,2023-10-09,47,M,Centro-Oeste,800,D,583,App Próprio,1,429,0,2400,12,0.093,340.24,0.425,Pagar dívidas,0,0
CLI000102,2024-09-15,46,F,Sul,1972,D,587,Parceiro Marketplace A,2,129,0,1650,12,0.1035,246.33,0.125,Consumo,0,0
CLI000103,2023-10-24,30,F,Centro-Oeste,1091,D,536,Site,2,813,1,700,3,0.1459,304.5,0.279,Consumo,0,0
CLI000104,2024-12-28,44,M,Sul,2042,D,467,Parceiro Marketplace A,2,555,0,900,12,0.0787,118.62,0.058,Consumo,0,0
CLI000105,2023-10-28,23,M,Nordeste,1056,D,685,Parceiro Marketplace A,1,370,0,1200,3,0.1609,535.1,0.507,Consumo,0,0
CLI000106,2023-11-03,52,F,Sudeste,3659,C,341,Parceiro Marketplace A,3,649,1,1550,6,0.1254,382.78,0.105,Consumo,130,1
CLI000107,2023-11-06,58,F,Sudeste,2168,D,582,Parceiro Marketplace A,2,335,0,2550,3,0.124,1069.0,0.493,Pagar dívidas,30,0
CLI000108,2024-01-07,68,F,Centro-Oeste,4481,C,363,Parceiro Marketplace A,0,21,0,3000,6,0.0753,639.72,0.143,Emergência,215,1
CLI000109,2024-04-21,35,F,Norte,1119,D,504,Site,0,10,0,1900,3,0.0681,721.49,0.645,Emergência,0,0
CLI000110,2023-12-17,33,M,Sudeste,3297,C,636,Indicação,0,52,0,1300,12,0.1618,252.01,0.076,Pagar dívidas,0,0
CLI000111,2024-08-04,47,F,Sudeste,807,D,550,App Próprio,1,327,1,700,12,0.0865,96.04,0.119,Consumo,30,0
CLI000112,2023-11-06,54,M,Sudeste,1877,D,624,Parceiro Marketplace A,2,720,1,1650,3,0.1123,677.9,0.361,Emergência,171,1
CLI000113,2024-03-06,70,M,Sudeste,1319,D,447,Mídia Paga,2,686,1,1900,3,0.1209,792.29,0.601,Consumo,0,0
CLI000114,2024-04-28,19,M,Norte,1425,D,548,Mídia Paga,0,40,1,1100,3,0.0629,413.73,0.29,Saúde,0,0
CLI000115,2024-04-02,30,F,Sudeste,1384,D,486,Site,2,446,0,1100,6,0.1445,286.37,0.207,Emergência,30,0
CLI000116,2024-02-28,31,M,Nordeste,1171,D,532,Mídia Paga,4,344,0,2500,12,0.1251,413.17,0.353,Emergência,5,0
CLI000117,2024-12-11,31,M,Centro-Oeste,1013,D,537,Indicação,0,28,0,2050,9,0.1691,459.2,0.453,Consumo,5,0
CLI000118,2024-10-17,42,M,Nordeste,1428,D,589,Parceiro Marketplace B,1,262,1,1450,6,0.0757,309.58,0.217,Saúde,135,1
CLI000119,2024-08-21,64,F,Nordeste,1806,D,407,Parceiro Marketplace A,1,489,1,1750,12,0.0802,232.46,0.129,Emergência,15,0
CLI000120,2024-10-31,19,F,Sudeste,2804,C,568,Mídia Paga,1,607,1,1600,6,0.091,357.74,0.128,Emergência,30,0
CLI000121,2024-05-08,61,M,Sudeste,1947,D,598,Parceiro Marketplace A,1,873,0,700,9,0.0966,119.91,0.062,Pagar dívidas,15,0
CLI000122,2024-01-06,50,F,Sudeste,2807,C,620,App Próprio,2,350,0,2650,6,0.1731,744.3,0.265,Consumo,0,0
CLI000123,2024-01-13,50,F,Sudeste,924,D,367,App Próprio,1,128,1,450,9,0.1281,87.07,0.094,Consumo,196,1
CLI000124,2024-04-21,53,M,Sudeste,1434,D,452,Mídia Paga,4,330,1,800,6,0.0924,179.61,0.125,Pagar dívidas,5,0
CLI000125,2023-09-27,24,M,Sudeste,2318,C,588,Parceiro Marketplace A,5,749,0,1750,3,0.0858,686.18,0.296,Emergência,154,1
CLI000126,2024-03-01,57,F,Sudeste,1987,D,612,App Próprio,1,421,0,1500,9,0.1227,284.41,0.143,Emergência,223,1
CLI000127,2024-11-19,31,F,Sudeste,1198,D,373,App Próprio,1,392,1,1850,6,0.0841,405.17,0.338,Pagar dívidas,0,0
CLI000128,2023-11-14,45,F,Centro-Oeste,2546,C,408,Mídia Paga,2,428,0,2800,6,0.0696,586.7,0.23,Consumo,200,1
CLI000129,2024-02-25,53,M,Sudeste,1376,D,243,App Próprio,0,47,0,1000,9,0.1349,198.43,0.144,Pagar dívidas,15,0
CLI000130,2024-01-24,50,M,Sudeste,1241,D,527,Indicação,0,18,1,600,6,0.1402,154.38,0.124,Pagar dívidas,0,0
CLI000131,2024-03-01,35,F,Norte,2110,D,691,Indicação,1,614,0,550,3,0.0689,209.16,0.099,Pagar dívidas,5,0
CLI000132,2024-03-08,38,F,Sudeste,1724,D,259,Parceiro Marketplace B,0,57,0,350,9,0.1207,65.86,0.038,Consumo,117,1
CLI000133,2024-11-13,43,F,Nordeste,1381,D,488,Site,1,115,1,2400,3,0.1286,1014.04,0.734,Emergência,5,0
CLI000134,2024-03-05,20,F,Norte,1361,D,471,App Próprio,0,29,0,1500,3,0.1362,641.98,0.472,Consumo,15,0
CLI000135,2023-10-29,56,M,Nordeste,1097,D,726,App Próprio,1,100,0,900,6,0.061,183.6,0.167,Pagar dívidas,15,0
CLI000136,2024-07-20,23,F,Sudeste,1456,D,549,App Próprio,2,106,0,2100,3,0.1553,927.85,0.637,Pagar dívidas,0,0
CLI000137,2024-02-10,42,F,Sul,2730,C,549,Parceiro Marketplace A,1,765,1,2400,6,0.1234,589.37,0.216,Pagar dívidas,5,0
CLI000138,2024-12-15,52,F,Nordeste,1906,D,513,Indicação,1,323,0,2800,9,0.1095,504.7,0.265,Pagar dívidas,0,0
CLI000139,2024-06-27,22,F,Sudeste,2572,C,341,App Próprio,0,9,1,1300,9,0.1127,237.25,0.092,Consumo,229,1
CLI000140,2024-05-10,70,M,Sudeste,2136,D,668,Parceiro Marketplace B,1,194,0,2150,6,0.1144,514.67,0.241,Educação,0,0
CLI000141,2023-07-20,37,M,Sudeste,1330,D,724,Parceiro Marketplace A,3,124,0,950,3,0.1621,424.45,0.319,Emergência,0,0
CLI000142,2024-09-07,18,M,Sul,860,D,403,App Próprio,1,607,0,2600,12,0.1425,464.39,0.54,Pagar dívidas,5,0
CLI000143,2024-08-04,52,F,Sudeste,1165,D,669,Site,0,2,0,2750,12,0.0943,392.4,0.337,Pagar dívidas,194,1
CLI000144,2024-05-25,47,M,Sudeste,1297,D,393,Parceiro Marketplace A,0,27,0,1950,3,0.0615,731.54,0.564,Consumo,15,0
CLI000145,2023-07-14,51,F,Nordeste,1256,D,175,Mídia Paga,1,164,1,2050,9,0.1052,363.35,0.289,Consumo,15,0
CLI000146,2023-09-28,57,M,Centro-Oeste,2597,C,521,Parceiro Marketplace B,0,55,0,2050,12,0.0828,275.98,0.106,Pagar dívidas,30,0
CLI000147,2024-12-13,43,M,Sudeste,2585,C,642,App Próprio,2,36,0,1850,12,0.1328,316.58,0.122,Educação,15,0
CLI000148,2024-08-27,61,F,Sudeste,4355,C,289,Parceiro Marketplace A,2,419,1,1450,6,0.1369,369.72,0.085,Consumo,217,1
CLI000149,2023-10-15,37,M,Sudeste,1248,D,310,App Próprio,1,484,0,2250,9,0.0987,388.67,0.311,Saúde,5,0
CLI000150,2024-11-30,46,F,Nordeste,3364,C,414,Site,1,121,1,2950,9,0.1636,648.44,0.193,Emergência,15,0
CLI000151,2023-09-26,26,M,Nordeste,3355,C,404,Parceiro Marketplace A,2,533,1,2300,9,0.1779,530.77,0.158,Reforma,5,0
CLI000152,2024-08-02,50,F,Norte,1560,D,698,Mídia Paga,0,20,0,1050,12,0.1164,166.69,0.107,Consumo,0,0
CLI000153,2023-08-24,31,F,Sudeste,2098,D,586,App Próprio,3,491,0,1600,6,0.1167,385.53,0.184,Emergência,191,1
CLI000154,2024-07-26,54,F,Sudeste,2896,C,615,App Próprio,0,59,0,1850,3,0.0694,704.17,0.243,Educação,0,0
CLI000155,2024-05-11,60,F,Sudeste,1678,D,595,Parceiro Marketplace A,1,839,0,450,9,0.1654,99.53,0.059,Pagar dívidas,0,0
CLI000156,2024-01-09,63,F,Sudeste,1624,D,772,App Próprio,1,184,0,1600,12,0.0772,209.24,0.129,Pagar dívidas,0,0
CLI000157,2024-10-24,67,F,Nordeste,1321,D,404,Site,0,56,0,500,12,0.1354,86.56,0.066,Consumo,0,0
CLI000158,2024-03-06,24,M,Sul,800,D,467,App Próprio,1,352,1,1650,3,0.1374,707.61,0.885,Pagar dívidas,0,0
CLI000159,2024-04-03,25,F,Sudeste,1772,D,316,App Próprio,0,40,0,450,12,0.1015,66.53,0.038,Consumo,92,1
CLI000160,2023-11-04,67,F,Sul,1276,D,625,Parceiro Marketplace A,0,25,0,1200,3,0.0719,458.85,0.36,Emergência,15,0
CLI000161,2023-07-13,38,M,Sudeste,1095,D,575,App Próprio,0,36,1,2850,12,0.1385,500.2,0.457,Pagar dívidas,0,0
CLI000162,2024-01-08,19,M,Nordeste,2054,D,633,Mídia Paga,0,15,0,200,9,0.101,34.87,0.017,Pagar dívidas,203,1
CLI000163,2024-05-25,33,F,Sudeste,935,D,504,Mídia Paga,0,29,0,950,3,0.0783,367.5,0.393,Saúde,0,0
CLI000164,2024-05-26,62,F,Nordeste,2413,C,374,App Próprio,1,450,0,1250,3,0.1697,565.44,0.234,Educação,15,0
CLI000165,2024-05-20,36,M,Sudeste,2107,D,467,Mídia Paga,1,38,1,1850,6,0.1184,447.93,0.213,Saúde,0,0
CLI000166,2023-10-19,22,M,Centro-Oeste,1454,D,496,Site,3,734,0,2900,3,0.1441,1257.72,0.865,Educação,160,1
CLI000167,2024-07-11,56,F,Norte,1675,D,640,Parceiro Marketplace A,0,4,0,2000,3,0.0961,798.71,0.477,Consumo,227,1
CLI000168,2024-10-02,28,M,Sul,1043,D,375,Parceiro Marketplace A,0,57,1,2700,12,0.0778,354.2,0.34,Reforma,227,1
CLI000169,2024-07-04,36,F,Norte,2357,C,462,Parceiro Marketplace A,0,39,0,650,3,0.0641,245.02,0.104,Pagar dívidas,30,0
CLI000170,2024-12-19,18,F,Sudeste,1861,D,883,Site,5,256,0,1000,12,0.1014,147.77,0.079,Consumo,5,0
CLI000171,2024-11-04,49,M,Nordeste,1920,D,680,Parceiro Marketplace A,2,606,0,2700,6,0.066,559.47,0.291,Reforma,164,1
CLI000172,2024-11-13,41,M,Sudeste,2123,D,724,Mídia Paga,3,420,0,200,6,0.1788,57.01,0.027,Pagar dívidas,0,0
CLI000173,2023-11-11,63,M,Norte,1313,D,509,Site,2,453,0,1450,9,0.088,239.9,0.183,Reforma,0,0
CLI000174,2023-12-07,35,F,Sudeste,909,D,425,App Próprio,1,763,0,1450,6,0.0751,309.01,0.34,Saúde,15,0
CLI000175,2023-12-21,28,F,Sudeste,2571,C,715,App Próprio,2,587,0,2850,6,0.1585,770.39,0.3,Emergência,30,0
CLI000176,2024-04-26,26,F,Nordeste,2297,C,624,Site,0,51,1,1450,9,0.1559,310.29,0.135,Educação,15,0
CLI000177,2023-12-10,28,F,Sudeste,1374,D,353,Site,0,32,0,2750,3,0.1796,1263.98,0.92,Consumo,30,0
CLI000178,2024-10-05,41,F,Sul,2042,D,453,Parceiro Marketplace B,0,37,0,1850,6,0.0893,411.54,0.202,Pagar dívidas,30,0
CLI000179,2023-09-02,22,F,Sudeste,2917,C,457,Parceiro Marketplace B,2,435,0,1050,9,0.0658,158.29,0.054,Saúde,118,1
CLI000180,2024-04-05,39,M,Nordeste,2775,C,583,App Próprio,0,34,0,600,6,0.1468,157.18,0.057,Pagar dívidas,15,0
CLI000181,2023-08-13,63,M,Norte,1357,D,661,Parceiro Marketplace B,0,47,0,1550,3,0.157,686.76,0.506,Consumo,0,0
CLI000182,2024-10-10,58,F,Nordeste,920,D,438,Mídia Paga,2,787,1,250,3,0.102,100.88,0.11,Consumo,0,0
CLI000183,2024-04-07,51,F,Sudeste,989,D,472,Indicação,0,2,0,1150,9,0.1723,260.42,0.263,Reforma,0,0
CLI000184,2023-12-21,65,M,Sudeste,1509,D,266,Parceiro Marketplace B,0,57,0,1650,12,0.1526,307.78,0.204,Pagar dívidas,5,0
CLI000185,2024-04-08,59,F,Sudeste,3179,C,396,Mídia Paga,0,57,0,1750,3,0.1092,715.13,0.225,Educação,0,0
CLI000186,2024-05-05,52,M,Sudeste,1267,D,626,Mídia Paga,0,17,1,1450,6,0.1464,379.44,0.299,Pagar dívidas,5,0
CLI000187,2024-10-03,63,F,Nordeste,1339,D,632,App Próprio,1,137,0,2900,3,0.0601,1085.12,0.81,Consumo,0,0
CLI000188,2024-06-09,24,M,Sudeste,1327,D,688,Site,1,103,0,600,12,0.1007,88.36,0.067,Consumo,15,0
CLI000189,2024-08-25,61,M,Sudeste,1376,D,521,Parceiro Marketplace B,1,252,0,3000,12,0.0804,398.91,0.29,Consumo,30,0
CLI000190,2024-07-22,33,M,Sudeste,1712,D,533,App Próprio,1,844,0,2150,6,0.0966,488.75,0.285,Pagar dívidas,0,0
CLI000191,2023-12-28,56,M,Centro-Oeste,1005,D,570,App Próprio,1,305,0,2500,3,0.0851,979.02,0.974,Emergência,15,0
